file,supergroup,group,subgroup,title
,I,,,Vocal music
masses,,A,,Masses
requiems,,B,,Requiems
liturgical_works,,C,,Short liturgical works
,,,1,Graduals
,,,2,Hymns
,,,3,Motets
,,,4,Offertories
,,,5,Introits
vespers,,D,,Vespers and psalms
,,,1,Complete vespers
,,,2,Psalms
,,,3,Misereres
,,,4,Magnificats
responsories,,E,,Responsories
marian_hymns,,F,,Marian hymns
,,,1,Alma Redemptoris mater
,,,2,Ave Regina coelorum
,,,3,Regina coeli
,,,4,Salve Regina
,,,5,Sub tuum praesidium
sequences,,G,,Sequences
litanies,,H,,Litanies
misc_vocal,,I,,Miscellaneous vocal works
,II,,,Instrumental music
sonatas,,J,,Sonatas
sinfonias,,K,,Sinfonias
partitas,,L,,Partitas
misc_instrumental,,M,,Miscellaneous instrumental works
