section,title,from,to,notes
1,Missae solemnes cum Clarinis & Tympanis,12,60,also p. 575f (no. 189–193)
2,Missae sine Clarinis & Tymp[anis],61,114,page with no. 141–148 missing
3,Offertoria de Venerabili Sacramento,115,130,
4,Offertoria de SS: Nomine Jesu,131,142,
5,Offertoria de Resurrectione Domini,143,152,
6,Offertoria de Spiritu Sancto,153,160,
7,Offertoria de Sanctissima Trinitate,161,168,
8,Offertoria de Appostolis,169,178,
9,Offertoria de Beata Virgine Maria,179,198,
10,Motetta de S: Martyre,199,208,no title page
11,Offertoria de Confessoribus,209,222,
12,Offertoria de Tempore & Sanctis,223,248,also p. 175f (no. 96–102)
13,Offertoria de SS. Angelis,249,250,
14,Offertoria de Dedicatione Ecclesiae,251,252,
15,Vesperae Dominicales cum Clarinis & Tymp[anis],253,270,
16,Vesperae de Beata com Clarinis & Tymp[anis],271,282,
17,Vesperae Dominicales sine Clarinis & Tymp[anis],283,292,
18,Vesperae de Beata sine Clarinis & Tymp[anis] ,293,304,
19,Beatus vir cum & sine Clarinis,305,312,
20,Laudate pueri cum & sine Clarinis,313,324,
21,Magnificat,325,344,
22,Requiem cum & sine Sordinis,345,362,
23,Psalmus Miserere,363,376,
24,Hymnus Stabat Mater,377,390,
25,Lytaniae de Beata & vener[a]bili cum Clarinis,391,412,
26,Lytaniae de Beata & venerab[i]li sine Clarinis,413,442,
27,Sub tuum Praesidium,443,454,
28,Ave Regina,455,468,
29,Alma Redemptoris,469,488,
30,Regina Coeli,489,506,
31,Salve Regina,507,542,
32,Hymni Vesperarum,543,556,
33,Veni Sancte Spiritus,557,566,
34,Te Deum Laudamus,567,574,
35,Introitus Missarum,583,596,
36,Oratoria pro Sepulchro Domini,597,606,
37,Cantilenae de Nativitate Domini,607,624,
38,Cantilenae de Passione Domini,625,638,
39,Cantilenae de Venerab[i]l[e] Sacramento,639,660,
40,Cantilenae de Beata,661,680,
41,Sinfoniae cum & sine Clarinis ac Tymp[anis],681,686,"no entries, pages torn out"
42,Parthiae cum & sine Clarinis & Corn[is],687,710,
43,Applausus,711,720,
