section_1751,page_1751,number_1751,section_1774,page_1774,number_1774,shelfmark
1,25,49,1,8r,59,
1,25,51,1,8r/8v,60/62,
1,25,52,1,8v,61,
1,29,67,1,10r,76,
1,39,107,1,15r,113,
1,39,108,1,13r,100,
1,41,115,1,14r/15r,108/114,
1,42,118,1,15r,115,
1,44,123,1,15v,119,
1,47,134,1,17r,129,
1,47,135,1,17r,130,
1,47,136,1,17r,131,
1,48,137,1,17v,132,
1,60,185,1,23v,180,
2,66,14,2,29r,17,
2,66,15,2,29r,18,
2,91,103,2,38v,93,
2,91,104,2,39r,99,
2,92,107,2,38r,92,
2,92,108,2,39r,100,
2,92,109,2,39v,101,
2,92,110,2,39v,102,
2,93,111,2,39v,103,
2,93,112,2,39v,104,
2,99,134,2,42r,134,
2,99,135,2,42r,135,
2,99,136,2,42r,136,
2,100,138,2,42v,138,
2,100,139,2,42v,139,
2,100,140,2,42v,140,
2,missing,141,2,42v,141,H70
2,missing,142,2,42v,142,
2,missing,143,2,43r,143,
2,101,151,2,43v,151,
2,106,170,2,44v,164,
2,106,171,2,44v,165,
2,106,172,2,44v,166,
7,165,5,7,65v,5,
8,172,8,9,77r,4,
9,192,43,8,72v,29,
9,192,44,8,72v,30,
9,192,45,8,72v,31,
9,192,46,8,72v,32,
9,193,47,8,73r,33,
10,206,26,10,84v,22,
11,216,18,,,,
11,216,19,,,,
11,217,20,,,,
11,217,21,,,,
15,257,11,13,102r,12,882
,,,14,107r,11,884
,,,14,107r,12,
16,274,6,,,,
18,297,5,,,,883/1 | 883/2 | 883/3 | 883/4
,,,17,122r,12,
,,,18,127r,4,
20,320,18,,,,885
21,327,9,23,154v,7,
22,353,18,25,168r,27,
23,368,16,27,178r,4,
23,369,17,27,180r,17,
23,369,18,27,180r,18,
23,370,21,27,180v,21,
23,370,22,27,180v,22,
23,370,24,27,180v,24,
24,381,10,28,187v,10,
24,381,11,28,187v,11,
25,400,23,,,,880
25,400,24,,,,878
26,416,8,,,,
26,419,19,30,200r,10,876
26,419,20,30,200r,11,
26,420,21,30,200r,12,
26,420,22,30,200v,13,
26,426,45,30,204r,43,
26,427,52,30,204v,49,
26,428,53,30,205r,50,
26,428,54,30,205r,51,
26,428,55,30,205r,52,
26,428,56,,,,
26,429,57,,,,881
26,429,59,30,205r,53,877
26,429,60,30,205r,54,
26,430,61,30,205r,55,879/1 | 879/2
26,430,62,30,205r,56,
26,430,65,,,,
31,510,6,32,218v,5,
31,529,93,,,,
,,,45,308r,14,
,,,45,308r,15,
,,,45,308v,16,
,,,45,308v,17,
,,,45,308v,18,
,,,45,308v,19,
,,,45,308v,20,
,,,45,309r,21,
,,,45,309r,22,
,,,45,309r,23,
,,,45,309r,24,
42,696,24,46,320r,24,
42,696,25,46,320r,25,
42,695,26,46,320v,26,
42,695,27,46,320v,27,
42,695,28,46,320v,28,
