page_a,number_a,page_b,number_b,volume_c,page_c,number_c,page_e,number_e,shelfmark
2,2,113,1,1,20,121,,,454/1
,,,,,,,,,454/2
11,60,113,8,,,,,,474/1
,,113,5,,,,,,475
,,113,6,,,,,,475/2
9,4,114,10,,,,,,456
45,4,,,,,,,,
45,2,113,2,1,20,122,,,453/1
45,5,113,3,1,20,123,,,453/2
45,1,,,,,,,,
45,3,113,4,1,20,124,,,457
45,6,,,,,,,,
25,10,,,,,,,,
46,7,,,,,,,,
,,114,9,,,,,,474/2
,,113,7,,,,,,499
45,7,,,,,,,,
29,1,,,,,,,,
26,1,,,,,,,,
46,8,,,,,,,,
,,24,5,1,25,179,,,461/5
,,114,1,,,,,,463
,,571,1,,,,,,462/1
,,272,2,,,,,,464/4
99,4,272,5,,,,42,5,464/1
98,2,272,1,2,29,106,,,
,,272,3,,,,,,464/3
98,1,272,4,,,,,,
128,9,,,,,,,,
161,2,582,5,,,,,,452/1 | 901
,,582,6,,,,,,452/2
,,,,,,,,,452/4
166,7,,,,,,,,413
162,5,538,1,2,37,4,,,464/2
126,8,351,1a,,,,,,119/1
126,10,351,1b,,,,,,119/2
72,2,,,,,,,,
71,5,,,,,,,,
126,9,,,,,,,,
,,351,1d,,,,,,119/4
,,351,1c,,,,,,119/3
69,9,351,2a,,,,,,
,,351,2b,,,,,,
,,351,2c,,,,,,
121,11,,,,,,,,
57,2,,,,,,,,
92,6,,,,,,,,
57,5,386,1,1,30,34,,,197
91,5,386,1,1,30,34,,,197
91,2,,,,,,,,
80,5,,,,,,,,
145,5,,,,,,,,
