title,ensemble,conductor,label,label_number,year,track,track_title,id
František Tůma: Orchestrální Skladby,Pražský komorní orchestr,Petr Škvor/Břetislav Novotný,Supraphon,1 10 1444 G,1974/2010,1–5,Partita in D minor,K.11
,,,,,,6–8,Sinfonia in B-flat major,J.10
,,,,,,9–12,Dance suite in A major,K.6
,,,,,,13,Sonata for two trombones,I.6
,,,,,,14–16,Sinfonia in A major,J.5
"Tůma: Partite, Sonate e Sinfonie",Concerto Italiano,Rinaldo Alessandrini,Naïve,OP 30436,2008,1–2,Sonata a Quattro In La Minore,I.3
,,,,,,3–7,Partita a Quattro In Re Minore,K.11
,,,,,,8–11,Sinfonia a Quattro In Si Bemolle Maggiore,J.10
,,,,,,12–15,Sinfonia a Tre In Si Bemolle Maggiore,J.8
,,,,,,16–20,Partita a Tre In Do Minore,K.18
,,,,,,21–24,Sonata a Quattro In Mi Minore,I.5
,,,,,,25–27,Sonata a Tre In La Minore,I.1
Music from eighteenth-century Prague: Zelenka · Tůma,Collegium 1704,Václav Luks,Supraphon,SU 4160-2,2012,1–11,Stabat Mater in G minor,F.2
Tůma: Requiem,Czech Ensemble Baroque,Roman Válek,Supraphon,SU 4300-2,2021,1–20,Requiem. Missa della morte in C,B.1
,,,,,,21–29,Miserere in C,D.3.5
Tůma: Te Deum,Czech Ensemble Baroque,Roman Válek,Supraphon,SU 4315-2,2022,1–6,Te Deum,H.3
,,,,,,7–10,Sinfonia ex C,J.14
,,,,,,11–26,Missa Veni Pater Pauperum,A.19
František Tůma,Czech Ensemble Baroque,Roman Válek,Aparté,AP340,2023,1–3,Motetto de S. Joanne Baptista,C.3.17
,,,,,,4–7,Motettum de tempore,C.3.8
,,,,,,8–10,Sinfonia a quattro,J.1
,,,,,,11–14,Motetto per ogni Tempo,C.3.6
,,,,,,15–19,Dixit Dominus,D.2.9
Tůma: Vesperae,Czech Ensemble Baroque,Roman Válek,Supraphon,SU 4352-2,2024,1–2,Ouverture in C major,L.1
,,,,,,3–8,Vesperae de confessore,D.1.1
,,,,,,9–12,Sinfonia in D minor,J.7
,,,,,,13–18,Stabat Mater,F.3
,,,,,,19–22,Partita in G minor,K.15
,,,,,,23–27,Litaniae Reginae Martyrum,G.14
Musica Instrumentalis Imperialis · Festive Sonatas from Imperial Vienna,Tubicinatores Gedanenses et Arcus adiuncti,Paweł Hulisz,CPO,555 520-2,2024,1–3,"Ouverture C-Dur ""con clarini""",L.1
,,,,,,4–6,Sonata cum Tubis et Timpanis Nr. 1 C-Dur,I.23
,,,,,,7–10,Parthia a 3 f-moll / F-Dur,J.6
Ein stille Nacht in Österreich,Currende,Erik van Nevel,Etcetera,KTC 1831,2024,16,O magnum mysterium,C.3.4
