title,siglum,shelfmark,manual_intervention
Miserere,A-Ee,N1447,
Miserere,A-Ee,N1448,
Succurre roginates,A-GÖ,1636,
Per labra nectar bibitur,A-GÖ,1637,
Stabat mater,A-GÖ,1785,
Stabat mater,A-GÖ,1786,
Litaniae lauretanae,A-GÖ,1897,
Litaniae lauretanae,A-GÖ,1898,
Litaniae lauretanae,A-GÖ,1899,
Litaniae lauretanae,A-GÖ,1900,
Vesper (Dixit Dominus),A-GÖ,2117,
Vesper (Dixit Dominus),A-GÖ,2118,
Dixit Dominus,A-GÖ,2119:1,split manually
Laudate pueri,A-GÖ,2119:2,split manually
Laetatus sum,A-GÖ,2119:3,split manually
Nisi Dominus,A-GÖ,2119:4,split manually
Lauda Jerusalem,A-GÖ,2119:5,split manually
Magnificat,A-GÖ,2119:6,split manually
Laudate pueri,A-GÖ,2143:1,split manually
Laetatus sum,A-GÖ,2143:2,split manually
Miserere,A-GÖ,2587,
Miserere,A-GÖ,2588,
Miserere,A-GÖ,2589,
Miserere,A-GÖ,2590,
Missa Sancti Thomas,A-GÖ,619,
Missa Sanctae Theresae / Andreae,A-GÖ,620,
Missa Sancti Stephani,A-GÖ,621,
Missa,A-GÖ,622,
Missa Sancti Placidi / Offertoria,A-GÖ,623,
Missa Sancti Mauri,A-GÖ,624,
Missa Sancti Ignatii,A-GÖ,625,
Missa Sanctae Elisabethae,A-GÖ,626,
Missa Sancti Eremberti,A-GÖ,627,
Missa Sancti Joannis / pro Dominica Quinquagesima / Cantate,A-GÖ,628,
Missa all’Onor e Preggio del Patriarcha,A-GÖ,629,
Missa Sancti Eustachii,A-GÖ,630,
Missa,A-GÖ,631,
Missa Sanctae Elisabethae,A-GÖ,632,
Missa Jucundare,A-GÖ,633,
Missa Sancti Francisci,A-GÖ,634,
Missa,A-GÖ,635,
Missa,A-GÖ,636,
Missa,A-GÖ,637,
Missa,A-GÖ,638,
Missa,A-GÖ,639,
Missa,A-GÖ,640,
Motet,A-GÖ,3592,
Motet,A-GÖ,3593,
Litaniae lauretanae,A-H,876,
Litaniae lauretanae,A-H,877,
Litaniae lauretanae,A-H,878,
Litaniae lauretanae,A-H,879:1,split manually
Sub tuum praesidium,A-H,879:2,split manually
Litaniae lauretanae,A-H,880,
Litaniae lauretanae,A-H,881,
Vesperae,A-H,882,
Vesperae (Laudate pueri),A-H,883:1,split manually
Vesperae (Laetatus sum),A-H,883:2,split manually
Vesperae (Nisi Dominus),A-H,883:3,split manually
Vesperae (Lauda Jerusalem),A-H,883:4,split manually
Vesperae,A-H,884,
Laudate pueri,A-H,885,
Sub tuum praesidium,A-H,887,
Missa,A-H,H70,
Vesperae de Confessore,A-KN,119/1,
Vesperae de BMV,A-KN,119/2,
Laudate Dominum,A-KN,119/3,
Domine probasti me,A-KN,119/4,
Litaniae lauretanae,A-KN,197,
Exaudivit de templo,A-KN,413,
Tenebrae factae sunt,A-KN,452/1,
Tenebrae factae sunt,A-KN,452/2,
Tenebrae factae sunt,A-KN,452/4,
Missa brevissima,A-KN,453/1,
Missa Sancti Eustachii,A-KN,453/2,
Missa in feriis Rogatorum,A-KN,454/1,
Missa,A-KN,454/2,
Missa,A-KN,456,
Missa Sanctae Theresae,A-KN,457,
Missa Sancti Joannis,A-KN,461/5,
Requiem,A-KN,462/1,
Missa,A-KN,463,
Justus ut palma,A-KN,464/1,
Veni sancte,A-KN,464/2,
Veritas mea,A-KN,464/3,
Alleluia confitemini,A-KN,464/4,
Missa,A-KN,474/1,
Missa Sancti Engelberti,A-KN,474/2,
Missa pro festivitate S Leopoldi,A-KN,475,
Missa,A-KN,475/2,
Missa Sancti Bertholdi / Bernardi,A-KN,499,
Tenebrae factae sunt,A-KN,901,
Tenebrae factae sunt,A-KN,1262,
Veritas mea,A-KN,1348,
Missa,A-KR,A 44/134,
Missa,A-KR,K 7/1012,
Missa,A-M,I/10,
Missa,A-M,I/11,
Missa,A-M,I/41,
Missa,A-M,I/44,
Missa,A-M,I/9,
Miserere,A-M,III/55,
Miserere,A-M,III/56,
Sonata,A-M,V/1087,
Sinfonia,A-M,V/1438,
Martis und Irene Verbindung,A-M,VI Fragmente,
Libretto Martis und Irene Verbindung,A-M,"Stiftsarchiv, 15. Gymnasium, Karton 2",
Missa Sanctae Theresae / Andreae,A-SEI,E VII 3 e,
Missa Vale,A-SEI,E VII 3 g,
Missa all’Onor e Preggio del Patriarcha,A-SEI,E VII 3 f,
Dixit Dominus,A-SEI,E XV 2 a IV:1,split manually
Dixit Dominus,A-SEI,E XV 2 a IV:2,split manually
Miserere,A-SEI,E XVII 1 c I,
Miserere,A-SEI,E XVII 1 c II,
Vesperae,A-SEI,E XXII 9 a,
Vesperae,A-SEI,E XXII 9 b,
Vesperae,A-SEI,E XXII 9 c,
Miscellaneous full scores,A-Wdtö,(no shelfmark),
Cum invocarem,A-Wgm,I 17565:1,split manually
In te Domine speravi,A-Wgm,I 17565:2,split manually
Qui habitat in adiutorio,A-Wgm,I 17565:3,split manually
Ecce nunc benedicite,A-Wgm,I 17565:4,split manually
Te lucis ante terminum,A-Wgm,I 17565:5,split manually
Nunc dimittis,A-Wgm,I 17565:6,split manually
Missa,A-Wgm,I 11558 (H 28429),
Missa,A-Wgm,I 11559 (Q 478),
Missa,A-Wgm,I 11573 (Q 479),
Justus ut palma (gradual),A-Wgm,I 1648 (Q 475):1,split manually
Confitebor Domino (offertorium),A-Wgm,I 1648 (Q 475):2,split manually
Benedictus,A-Wgm,I 1693 (Q 476):29,split manually
Miserere,A-Wgm,I 1693 (Q 476):28,split manually
In monte oliveti,A-Wgm,I 1693 (Q 476):1,split manually
Tristis est anima,A-Wgm,I 1693 (Q 476):2,split manually
Ecce videmus eum,A-Wgm,I 1693 (Q 476):3,split manually
Amicus meus,A-Wgm,I 1693 (Q 476):4,split manually
Judas mercator,A-Wgm,I 1693 (Q 476):5,split manually
Unus ex discipulis,A-Wgm,I 1693 (Q 476):6,split manually
Eram quasi agnus,A-Wgm,I 1693 (Q 476):7,split manually
Una hora,A-Wgm,I 1693 (Q 476):8,split manually
Seniores populi,A-Wgm,I 1693 (Q 476):9,split manually
Omnes amici mei,A-Wgm,I 1693 (Q 476):10,split manually
Velum templi,A-Wgm,I 1693 (Q 476):11,split manually
Vinea mea electa,A-Wgm,I 1693 (Q 476):12,split manually
Tamquam ad latro,A-Wgm,I 1693 (Q 476):13,split manually
Tenebrae factae sunt,A-Wgm,I 1693 (Q 476):14,split manually
Anima meam dilectam,A-Wgm,I 1693 (Q 476):15,split manually
Tradiderunt me,A-Wgm,I 1693 (Q 476):16,split manually
Jesum tradidit impius,A-Wgm,I 1693 (Q 476):17,split manually
Caligaverunt oculi mei,A-Wgm,I 1693 (Q 476):18,split manually
Sicut ovis,A-Wgm,I 1693 (Q 476):19,split manually
Jerusalem surge,A-Wgm,I 1693 (Q 476):20,split manually
Plange quasi virgo,A-Wgm,I 1693 (Q 476):21,split manually
Recessit pastor noster,A-Wgm,I 1693 (Q 476):22,split manually
O vos omnes,A-Wgm,I 1693 (Q 476):23,split manually
Ecce quomodo moritur,A-Wgm,I 1693 (Q 476):24,split manually
Astiterunt reges terrae,A-Wgm,I 1693 (Q 476):25,split manually
Aestimatus sum,A-Wgm,I 1693 (Q 476):26,split manually
Sepulto Domino,A-Wgm,I 1693 (Q 476):27,split manually
Miserere,A-Wgm,I 1709,
Stabat mater,A-Wgm,I 1718,
Ave Regina,A-Wgm,I 17564,
Missa tibi soli,A-Wgm,I 1997,
Missa,A-Wgm,I 24380 (H 27528),
Missa Sancti Stephani,A-Wgm,I 27552,
Hymnus,A-Wgm,I 2767,
Lamentationes Jeremiae Prophetae,A-Wgm,I 7364 (Q 477),
Sonata,A-Wgm,IX 1834 (Q 16492),
Sonata,A-Wgm,IX 23489,
Sonata,A-Wgm,IX 23490,
Parthia,A-Wgm,IX 29169,
Parthia,A-Wgm,IX 29170,
Parthia,A-Wgm,IX 29171,
Sinfonia,A-Wgm,IX 29172 (Q 16792),
Parthia,A-Wgm,IX 29173,
Parthia,A-Wgm,IX 29174 (Q 16821),
Parthia,A-Wgm,IX 29175 (Q 16822),
Parthia,A-Wgm,IX 29176 (Q 16823),
Parthia,A-Wgm,IX 29177 (Q 16824),
Sinfonia,A-Wgm,IX 29178 (Q 16825),
Parthia,A-Wgm,IX 29179,
Sinfonia,A-Wgm,IX 29180 (Q 16826),
Sinfonia,A-Wgm,IX 29181,
Sinfonia,A-Wgm,IX 29182 (Q 16793),
Sinfonia,A-Wgm,IX 29183 (Q 16794),
Parthia,A-Wgm,IX 29184 (Q 16795),
Parthia,A-Wgm,IX 29185,
Parthia,A-Wgm,IX 29186,
Parthia,A-Wgm,IX 29187,
Sinfonia,A-Wgm,IX 29188,
Sinfonia,A-Wgm,IX 29189,
Parthia,A-Wgm,IX 29190,
Sonata,A-Wgm,IX 29191,
Sinfonia,A-Wgm,IX 5483,
Sinfonia,A-Wgm,IX 5484,
Sinfonia,A-Wgm,IX 5485,
Sinfonia,A-Wgm,IX 5486,
Parthia,A-Wgm,IX 5487,
Parthia,A-Wgm,IX 5488 (Q 16790),
Parthia,A-Wgm,IX 5766 (Q 16791),
Sinfonia,A-Wgm,IX 5767,
Lamento,A-Wgm,XI 74966,
Lamento,A-Wgm,XI 75073,
Requiem,A-Wn,HK.793*,
Miserere,A-Wn,SA.67.H.4,
Stabat mater,A-Wn,SA.67.H.5,
Missa Sancti Mauri (autograph),A-Ws,E 3/15c,
Missa Sancti Mauri (parts),A-Ws,E 3/19,
Missa Sancti Joannis Evangelistae,A-Ws,E 3/24,
Missa Sancti Joannis Evangelistae,A-Ws,E 3/25,
Missa Veni Pater pauperum (autograph),A-Ws,E 3/15a,
Missa Veni Pater pauperum (Kyrie and Gloria),A-Ws,E 3/22,
Missa Veni Pater pauperum (Credo to Agnus),A-Ws,E 1/17,
Missa consolator optime (autograph),A-Ws,E 3/15b,
Missa consolator optime,A-Ws,E 3/23,
Missa Auxilium meum (autograph),A-Ws,E 3/15d,
Missa Auxilium meum (Kyrie and Gloria),A-Ws,E 3/16,
Missa Auxilium meum (Credo to Agnus),A-Ws,E 1/18,
Missa all’Onor e Preggio del Patriarcha (autograph),A-Ws,E 3/26,
Missa all’Onor e Preggio del Patriarcha,A-Ws,E 3/20,
Missa Sancti Thomas,A-Ws,E 3/17,
Missa patientiae,A-Ws,E 3/18,
Missa tibi soli (Kyrie and Gloria),A-Ws,E 3/21,
Missa tibi soli (Credo to Agnus),A-Ws,E 1/19,
